,summary_day,productive_activity_frequency,productive_activity_duration
0,2021-02-27,5,68.344
1,2021-02-28,3,2775.7479999999996
2,2021-03-01,5,3964.2009999999964
3,2021-03-02,2,416.324
4,2021-03-03,1,15.462
5,2021-03-04,0,0.0
6,2021-03-05,0,0.0
7,2021-03-06,1,102.514
8,2021-03-07,3,398.12000000000006
9,2021-03-08,2,90.391
10,2021-03-09,7,3110.4380000000006
11,2021-03-10,3,196.39399999999998
12,2021-03-11,3,1364.632
13,2021-03-12,11,4287.778999999999
14,2021-03-13,10,18507.045000000002
15,2021-03-14,11,13788.512999999999
16,2021-03-15,6,9336.136000000006
17,2021-03-16,2,514.318
18,2021-03-17,2,4993.886
19,2021-03-18,3,1045.3470000000002
20,2021-03-19,9,3606.3260000000005
21,2021-03-20,11,14205.423999999999
22,2021-03-21,10,1819.7839999999999
23,2021-03-22,8,5210.087
24,2021-03-23,2,116.959
25,2021-03-24,12,1571.9220000000003
26,2021-03-25,0,0.0
27,2021-03-26,6,1698.0420000000004
28,2021-03-27,3,256.731
29,2021-03-28,0,0.0
30,2021-03-29,1,23.287
31,2021-03-30,3,40.346000000000004
32,2021-03-31,4,54.158
33,2021-04-01,7,3135.1399999999994
34,2021-04-02,2,639.4320000000001
35,2021-04-03,3,133.20999999999998
36,2021-04-04,0,0.0
37,2021-04-05,9,4678.249
38,2021-04-06,8,1793.4260000000002
39,2021-04-07,3,129.411
40,2021-04-08,1,14.199000000000002
41,2021-04-09,1,121.347
42,2021-04-10,3,28.469
43,2021-04-11,7,2029.969
44,2021-04-12,8,2092.93
45,2021-04-13,4,2284.197
46,2021-04-14,2,329.173
47,2021-04-15,12,2921.6579999999994
48,2021-04-16,5,471.63
49,2021-04-17,5,130.278
50,2021-04-18,10,1319.2600000000002
51,2021-04-19,7,583.454
52,2021-04-20,1,6.867000000000001
53,2021-04-21,0,0.0
54,2021-04-22,4,937.9920000000001
55,2021-04-23,1,137.541
56,2021-04-24,1,61.427
57,2021-04-25,5,818.001
58,2021-04-26,1,0.0
59,2021-04-27,4,975.857
60,2021-04-28,0,0.0
61,2021-04-29,0,0.0
62,2021-04-30,0,0.0
63,2021-05-01,4,2267.308
64,2021-05-02,2,3.4789999999999996
65,2021-05-03,0,0.0
66,2021-05-04,0,0.0
67,2021-05-05,32,2594.236
68,2021-05-06,9,4291.8949999999995
69,2021-05-07,1,19.499000000000002
70,2021-05-08,6,1162.41
71,2021-05-09,2,581.641
72,2021-05-10,1,4.4719999999999995
73,2021-05-11,2,466.00100000000003
74,2021-05-12,3,132.644
75,2021-05-13,0,0.0
76,2021-05-14,0,0.0
77,2021-05-15,1,2.252
78,2021-05-18,6,2249.5639999999994
79,2021-05-19,5,1255.902
80,2021-05-20,10,3037.576
81,2021-05-21,1,122.229
82,2021-05-22,1,166.11700000000005
83,2021-05-23,11,969.279
84,2021-05-24,2,1.226
85,2021-05-25,3,325.628
86,2021-05-26,0,0.0
87,2021-05-27,8,618.31
88,2021-05-28,0,0.0
89,2021-05-29,0,0.0
90,2021-05-30,2,1.182
91,2021-05-31,3,326.846
92,2021-06-01,0,0.0
93,2021-06-02,0,0.0
94,2021-06-03,0,0.0
95,2021-06-04,6,1018.3779999999998
96,2021-06-05,3,230.93
97,2021-06-06,5,1480.4229999999995
98,2021-06-07,9,6931.772000000006
99,2021-06-08,6,291.37699999999995
100,2021-06-09,6,514.814
101,2021-06-10,0,0.0
102,2021-06-11,0,0.0
103,2021-06-12,0,0.0
104,2021-06-13,2,1717.4579999999999
105,2021-06-14,1,17.785
106,2021-06-15,1,642.6780000000001
107,2021-06-16,1,85.32000000000002
108,2021-06-17,0,0.0
109,2021-06-18,7,2885.088
110,2021-06-19,1,41.543
111,2021-06-20,0,0.0
112,2021-06-21,0,0.0
113,2021-06-22,0,0.0
114,2021-06-23,1,14.915999999999999
115,2021-06-24,0,0.0
116,2021-06-25,0,0.0
117,2021-06-26,2,150.589
118,2021-06-27,0,0.0
119,2021-06-28,1,0.0
120,2021-06-29,0,0.0
121,2021-07-01,4,16201.331
122,2021-07-02,10,4270.532999999999
123,2021-07-03,24,26472.14999999999
124,2021-07-04,2,270.438
125,2021-07-05,5,920.7080000000001
126,2021-07-06,0,0.0
127,2021-07-07,0,0.0
128,2021-07-08,23,20644.31700000001
129,2021-07-11,1,0.0
130,2021-07-12,0,0.0
131,2021-07-13,0,0.0
132,2021-07-14,1,1.1740000000000002
133,2021-07-15,1,4394.829000000001
134,2021-07-16,6,821.715
135,2021-07-19,5,499.784
136,2021-07-20,0,0.0
137,2021-07-21,0,0.0
138,2021-07-22,1,55.701
139,2021-07-23,2,35.767
140,2021-07-24,1,1657.7769999999994
141,2021-07-25,0,0.0
142,2021-07-27,4,1107.4130000000002
143,2021-07-28,1,2.406
144,2021-07-29,2,98.34
145,2021-07-30,4,3221.9900000000007
146,2021-07-31,6,1507.661
147,2021-08-01,5,178.84999999999997
148,2021-08-02,1,0.0
149,2021-08-03,1,12.104000000000001
150,2021-08-04,0,0.0
151,2021-08-05,10,2431.6910000000003
152,2021-08-06,11,8271.685999999998
153,2021-08-07,8,3114.187
154,2021-08-08,6,1019.8560000000001
155,2021-08-09,2,49.712999999999994
156,2021-08-10,7,374.59000000000003
157,2021-08-11,1,628.6220000000002
158,2021-08-12,1,0.0
159,2021-08-13,1,1.162
160,2021-08-14,3,20.334
161,2021-08-15,1,0.0
162,2021-08-16,2,1.136
163,2021-08-17,0,0.0
164,2021-08-18,3,381.866
165,2021-08-19,0,0.0
166,2021-08-20,17,10892.256000000001
167,2021-08-21,0,0.0
168,2021-08-22,8,1648.079
169,2021-08-23,1,71.801
170,2021-08-24,0,0.0
171,2021-08-25,0,0.0
172,2021-08-26,8,2303.0170000000003
173,2021-08-27,5,42.575
174,2021-08-28,8,2035.3260000000002
175,2021-08-29,6,976.9290000000002
176,2021-09-03,0,0.0
177,2021-09-04,1,13.739
178,2021-09-05,1,2.296
179,2021-09-06,0,0.0
180,2021-09-07,2,295.96000000000004
181,2021-09-08,0,0.0
182,2021-09-09,11,9089.437000000004
183,2021-09-10,6,5443.238000000002
184,2021-09-11,5,1550.9920000000006
185,2021-09-12,5,4940.030999999999
186,2021-09-13,7,1092.8790000000001
187,2021-09-14,5,2635.353
188,2021-09-15,3,5752.607000000002
189,2021-09-16,2,762.492
190,2021-09-17,3,3037.2190000000005
191,2021-09-18,1,157.697
192,2021-09-19,5,1671.5739999999996
193,2021-09-20,2,39.782000000000004
194,2021-09-21,2,813.354
195,2021-09-22,2,485.202
196,2021-09-23,3,1820.9889999999998
197,2021-09-24,1,681.4510000000001
198,2021-09-25,5,966.99
199,2021-09-26,13,6447.103000000001
200,2021-09-27,4,1353.6729999999998
201,2021-09-28,1,1042.764
202,2021-09-29,3,6600.637000000002
203,2021-09-30,2,51.775000000000006
204,2021-10-01,2,1268.989
205,2021-10-02,4,163.644
206,2021-10-03,0,0.0
207,2021-10-04,0,0.0
208,2021-10-05,0,0.0
209,2021-10-06,0,0.0
210,2021-10-07,1,2233.525
211,2021-10-08,2,105.459
212,2021-10-09,6,8969.551999999998
213,2021-10-10,18,6921.354999999997
214,2021-10-11,9,1298.5049999999994
215,2021-10-12,1,722.4839999999998
216,2021-10-13,2,373.4750000000001
217,2021-10-29,0,0.0
218,2021-10-30,1,125.65200000000002
219,2021-10-31,19,2617.1750000000006
220,2021-11-01,5,40.958
221,2021-11-02,1,834.275
222,2021-11-03,11,923.5709999999999
223,2021-11-04,8,679.13
224,2021-11-05,2,11.83
225,2021-11-06,3,665.143
226,2021-11-07,4,205.20399999999998
227,2021-11-08,0,0.0
228,2021-11-09,1,7.229
229,2021-11-10,2,10.903
230,2021-11-11,0,0.0
231,2021-11-12,1,30.285999999999998
232,2021-11-13,0,0.0
